id,Title,Human,Machine
11,Thar She Blows!,"The action takes place at Point Close station, 500 miles north of Perth. A steamer sights a whale, plunges a harpoon into it, then draws the carcass to the ship's side, whereupon it is attacked by a school of sharks. The whale is towed ashore, where it is stripped of its blubber and prepared for market.","The film is set in a small town in the American Southwest in the early 1900s. It is about a young woman who is determined to make it big in the music business, but finds it difficult to make ends meet. She falls in love with the son of a wealthy rancher, who is also the owner of a music store."
12,The Roommates,"Five young women named Beth, Brea, Carla, Heather, and Heather's cousin Paula take their summer vacation together at a resort on Lake Arrowhead, where they go to parties and become involved with local men. However, things go haywire for the women when a mysterious killer targets them.","The Roommates tells the story of a group of college roommates who live together in a small apartment in Los Angeles, California. The film follows the lives of the roommates as they struggle to cope with the pressures of college life and the changes that come with it."
13,Bowery Battalion,"The military is performing a practice air raid on New York City. Sach convinces the boys that it is real and they go down to the recruiter's office and enlist. Meanwhile, Slip arrives at Louie's and finds out what just happened and goes down there to stop them. He is too late, as they have already joined, and is tricked into enlisting himself. Louie tries to enlist as well, but is turned away as being too old. He was, however, in World War I and when he was there he invented the 'Hydrogen Ray', which did not work as intended. However, the army is using the plans for that ray as a decoy to try to capture spies that are at the local base...the same base the boys have been assigned to. The army decides to reinstated Louie to use him as bait for the spies. He winds up getting kidnapped by the spies and they try to get the secrets of the ray out of him. The boys come to his rescue and are rewarded with medals for bravery and then sent to the brig for leaving their posts to rescue Louie.","The Bowery Battalion of the New York City Police Department's ""Bowery Battalions"" is an all-black, all-female unit of the NYPD's Patrol Division. The film follows the lives of four members of the unit, who have been assigned to patrol the streets of New York's Lower East Side and the surrounding areas of the city. The film begins with the arrival of a group of bikers, led by a biker named ""Benny"" and his friends, who are on their way to a party at the home of a friend of theirs. The bikers arrive at the house and are greeted by the owner of the house, a man named ""Pete"" who is a member of the biker gang. Pete introduces himself to the bikers and tells them that his name is Pete, and that he is the leader of the gang. He explains that he and his gang are looking for a place to stay for the night, and they are going to stay at Pete's house for a few days. Pete and his biker friends meet up with the other bikers at a local bar, where Pete tells them about his plan to rob a local bank."
14,The Man In Black,"After the death of her yogi father during a freak ""yoga accident"", Joan Clavering returns home to her widowed and suddenly very wealthy step-mother Bertha. The latter conspires with her daughter Janice to drive Joan insane and deprive her of her rightful inheritance.",The Man in Black tells the story of a young man who becomes involved with a gang of jewel thieves and is framed for the murder of his father.
15,Grandmother's House,A boy called David and his sister move to their grandparent's house after the death of their parents. They are stalked at every turn by a crazy lady who has a extremely unsettling smile and a talent with a cook's knife. It is not long before people start to get shot and stabbed and the grandmother's house becomes a battle-zone.,"The film tells the story of a young woman who lives with her widowed grandmother in a dilapidated house in the English countryside. The film is set in the late 19th century, during the time of the Napoleonic Wars. The story is told through the eyes of the young woman's grandmother, who lives alone in the house with her two sons and two daughters."
16,Winter Journey,"Music student and gifted singer, Erik, is preparing to sing Schubert's Winterreise for a competition. As his teacher slams him for his poor performance, Erik's life is changed irrevocably by a chance meeting with Lyokha, a coarse and aggressive petty criminal.","The film tells the story of a group of friends who travel to a remote village in the Himalayas to spend the Christmas holidays with their families. They are joined by a young girl who has a crush on one of them, and a young man who is in love with her."
17,Adventures Of Johnny Tao,"Johnny Dow struggles to make a living at his small town gas station by charging motorists to see the electric guitar used by his late father, who was a one-hit-rock and roll wonder. Legend has it the guitar was carved in the shape of a dragon's head and made in part from an ancient spear his father found in the crater of a shooting star. When Johnny's friend Eddie stumbles upon the other half of the spear he releases an ancient demon hungry for power and destruction. Mika, a beautiful Chinese warrior who holds the secret to fighting Eddie and his army of kung-fu, sugar-craving warriors reveals to Johnny that the only way to stop the evil spirit is to use the first half of the spear - the dragon on Johnny's guitar! Together Johnny and Mika set out to fight Eddie and his army, reunite the two halves of the spear, restore peace to the town and - of course - save the world!","Johnny Tao is a young man who lives with his mother and younger sister in a ramshackle apartment in the city of Taipei, Taiwan. His father has recently died, and his mother has recently remarried, leaving Johnny to take care of his younger sister and younger brother. One day, Johnny Tao meets a young woman who works as a prostitute in a brothel. Johnny Tao falls in love with her, but his mother disapproves of their relationship because of Johnny Tao's poor academic performance and his lack of social skills. The young woman's boyfriend tries to force Johnny Tao to marry her in order to get money for his sister's education, but Johnny Tao refuses, and the boyfriend leaves her. After Johnny Tao is kicked out of the brothel by his mother, he goes to live with his uncle and aunt in the countryside. There, he meets a girl who is also a prostitute, and they fall in love, but their relationship is threatened by a local gangster who wants Johnny Tao for himself."
18,The Children Of Sanchez,"The film chronicles the life of Mr. Sanchez , who secretly advises her to find a man and get married. This is the only way that she, an uneducated poor woman, can escape her misogynistic father.","The Children of Sanchez tells the story of a group of children who live in a slum in the slums of Mexico City in the early 1980s. The film is set in the aftermath of the September 11th, 2001 attacks on the United States by the Islamic State group. The children of the slum, who have been living in fear of the rising tide of violence in the city, are forced by the government to leave their homes and seek refuge in the homes of the families of the victims of the attacks. The story focuses on the lives of the children of Sanchez, a poor family living in an impoverished neighborhood in the poorer part of the city."
19,The Escort,"The film shows the difficulties of an honest, imperiled judge and his bodyguard of four men, trying to clean up a Sicilian town. Corrupt local politicians, working hand-in-hand with the Mafia, will stop at nothing to prevent exposure of their rackets.",The Escort tells the story of a young man who is hired by a wealthy family to escort their daughter to her wedding. The daughter is kidnapped by a gang of criminals who want to use her for their own nefarious purposes.
20,The Other Side,"Max Mackenzie, an over-achieving science student, receives a scholarship by Marston I and Marston II to study fish on the remote Destiny Island. On the island she meets an array of odd citizens leading her to discover a tragedy that happened on the island years prior. She also falls in love with Sean Splinter , the mayor's son.",The Other Side tells the story of a group of friends on the other side of the Iron Curtain who are forced to choose between their loyalty to one side or the other. The film is set in the aftermath of the September 11th attacks.
21,Another Chance,"A womanizing soap opera star John Ripley meets the beautiful Jackie. She is a client of his agent and best friend Russ Wilder. After enjoying a great relationship with her, he cheats and then realizes that he hits rock bottom. He then tries to get back what he lost.","The film tells the story of a young man who returns to his home town after serving time in prison for a crime he did not commit. He tries to make amends with his ex-girlfriend, but finds that she has moved on with her life and has not returned."
22,The Sea Gypsies,"Travis and his two daughters, Courtney and Samantha, set off on a dangerous trip around the world on a sailboat. Along for the trip is Kelly, a journalist who has been assigned to cover the voyage. Also, Jesse, a stowaway, is found aboard adding a fifth person on the trip. Soon, they are shipwrecked on a deserted island and must learn how to survive together in a sometimes dangerous environment.","The Sea Gypsies tells the story of a group of gypsies who live on a small island off the coast of South Africa in the late 19th century. They are the descendants of a gypsy family that was massacred by the British during the Second Boer War. The film is set in the 1930s, during the last years of British colonial rule in South Africa."
23,Gone With The West,"Jud McGraw gets out of prison and seeks revenge against Mimmo, a man who wronged him. He meets Little Moon, a woman who also has good reason to go looking for justice. Mimmo pretty much owns the whole town, including the sheriff, whose sister Billie is also Mimmo's woman. A quick-draw gunslinger for hire, Kid Dandy, plays billiards and helps keep Mimmo safe from harm, at least until McGraw gets to town.","The film is set in the late 1880s, in a small town in the American West. The town is being terrorized by a gang of outlaws, led by a ruthless outlaw known only as ""The Kid"" and his gang. The Kid's gang has been terrorizing the town for years, killing anyone who gets in their way. When the town's sheriff is killed by The Kid, the townspeople band together to try to stop him."
24,Light Blast,"San Francisco. Two teenagers playing hide and seek among the cars in an abandoned railway depot only to find themselves in a freight exchange affettuse pampering. A white van arrives in the vicinity of the store and points a gun toward a large LCD clock. The boys copulate, the cannon fires all around and catches fire and melts.","Light Blast is the story of a group of young people who live in a small town in the south of France during the early 1970s. The film follows the lives of four friends, a young man, a woman, a man, and a young woman, as they try to make their way through life in a post-apocalyptic world."
25,My Family And Other Animals,"My Family And Other Animals tells the story of the Durrell family, Lawrence Durrell, Leslie Durrell, Margaret Durrell and Gerald Durrell, as well as their mother Louisa Durrell, as they spend five years on the Greek island of Corfu. The family reside in a series of villas, and spend their time indulging in their varying interests. Gerald develops his passion for wildlife, his mother spends her time cooking; Larry writes; Leslie develops his passion for ballistics and sailing, whilst Margo sunbathes and enchants the local young men.","The film tells the story of a young boy who lives with his family in a ramshackle farmhouse in a small town in the American Southwest. His father is an alcoholic, his mother is a prostitute, and his younger brother is a drug addict. The film focuses on the relationship between the father and his family, which consists of his mother, his brother, his sister-in-law, his wife, and their two children. The family consists of a mother, a father, a son, a daughter, and a younger brother, a dog."
26,Love Laughs At Andy Hardy,"Poor Andy, all he wants to do is get to town and continue to woo his girl and ask her hand in marriage. Andrew ""Andy"" Hardy met his sweetheart Kay Wilson in college, but has since served in the military and is now being discharged. Getting back to Kay may be the hardest thing of them all to accomplish. He arrives in town alright, but things start to go awry from there. This was the next-to-last Andy Hardy film produced. The final installment, ""Andy Hardy Comes Home"", would be made 12 years later in a failed attempt to revive the franchise. This film was also noteworthy for being the last to feature veteran character actor Lewis Stone as ""Judge Hardy"". Stone continued his career for the next seven years, making 10 more films until his death in 1953 at age 73.","Andy Hardy is a young man who lives with his widowed mother in a small town in the south of England. Andy's father died in a car accident when he was a young boy, and his mother has never forgiven him for his father's death. Andy has a crush on a girl who lives across the street from him, but he is too shy to ask her out. One day, Andy goes to the local pub where the girl works, and meets a man who tells him that his father was killed in the war and that he is now a wanted man. Andy decides to go to the police station to find out what happened to his father, but is told that he has to wait until the next day."
27,Everything But The Truth,"A schoolboy who has been urged to always tell the truth blurts out that an uncle of his has received a payoff from a politician. Chaos ensues, as teacher Joan Madison fights the school principal's decision to expel the boy from classes and enlists a newspaper columnist, Ernie Miller, to help support her cause.","Everything but the Truth tells the story of a man who is falsely accused of a crime he did not commit, and is sent to prison. He escapes from prison and returns to his hometown, where he tries to clear his name."
28,Operation Snatch,"The story takes place in Gibraltar, and is based on a local legend: if the resident Barbary apes were ever to leave, the British would lose Gibraltar. This wartime comedy has Terry-Thomas as the keeper of the apes. When one of the apes goes missing, he is required to go behind enemy lines to capture another one, or be personally responsible for the loss of Gibraltar.","Operation Snatch is set in the aftermath of the September 11th attacks on the United States by al-Qaeda in September 2001. A group of terrorists led by Abu-Gul al-Muhaddaff, a Muslim extremist, hijack a United States Air Force B-25 Mitchell bomber and take it to the Middle East, where they plan to sell it to a Middle Eastern country for $1 billion."
29,The Last Married Couple In America,"Life is going along smoothly for Jeff and Mari Thompson but not for any other couple they know, or so it seems. Everyone they know is getting divorced. Their life is disrupted when Mari's old college friend, Barbara, comes into it and begins a fling with Jeff, which causes Mari to contemplate an affair of her own.","The Last Married Couple in America tells the story of a man and woman who are about to be married for the last time in their lives. The film is set in New York City in the early 1990s, and focuses on a middle-aged couple who have been married for only a few months, and who are forced to reevaluate their lives after the death of their only child."
30,Charley's (big-hearted) Aunt,"Oxford students Arthur for bad behaviour. Learning the Dean of Bowgate College is an amateur Egyptologist, Arthur—who had just played the lead in a stage version of ""Charley's Aunt""—poses as Albert's wealthy Aunt Lucy, who might finance an archeological expedition if the Dean is lenient on her nephew and his friends. Unfortunately, the real Aunt Lucy picks this day to pay a visit to Oxford herself, with calamitous results.","Charley's (Big-hearted) aunt is a kind-hearted woman who lives in a small town with her husband and two children. Charley is in love with a young boy named Charlie, who is the son of a wealthy family. Charlie's father is a gambler and gambler, and his mother is a womanizer who is in debt to a local gangster. The gangster wants Charlie to marry the daughter of one of the gangsters, so that he can collect on his father's debt. Charlie falls for his aunt, but she is not interested."
31,Family Life,"A young woman, Janice, is living with her restrictive and conservative parents, who lead a dull working-class life, and consider their daughter to be ""misbehaving"" whenever she's trying to find her own way in life. When she becomes pregnant, they force her into abortion, and hypocritically blame her for ""upsetting them"" when she is unable to cope with the emotional and mental effect this has on her. Janice is subjected to shockingly self-righteous and ignorant doctors.","The film tells the story of a middle-class family in a small town in the south of France during the early 1970s. The film focuses on the relationship between a father and his wife and their two young children. The father is a successful businessman, while the mother is a housewife who works as a housekeeper in a local hotel. The two children are very different in temperament, with the father preferring to spend time with his family and the mother preferring to stay at home with her work."
32,Out Of Singapore,First Mate Woolf Barstow is a corrupt merchant marine officer crewing a cargo ship which sails the Manila-Singapore trade route. He and his henchmen intend to blow the vessel while it is off the coast of Luzon in order to collect the insurance premium.,"The film is set in Singapore in the 1950s, during the height of the Japanese occupation of the country. It tells the story of a group of young men who are sent by their families to work in the rubber plantations of Singapore, where they meet and fall in love with local women."
33,Woodpecker In The Rough,"When the golfing bug bites Woody Woodpecker, he is ready for the game, but the question is ""Is the game ready for him?"" as he tries to match play with a power golfer. Woody's attempts to play golf are interrupted by a big, burly man who makes a bet with him.","Woody Woodpecker and his friends are playing a game of hide-and-seek in the woods. Woody's friend Buzz Buzzard comes up with a plan to scare Woody out of his woodpecker house, but the plan backfires and Woody ends up in the house with Buzz instead."
34,The Fox Of Glenarvon,"The film takes place in the fictional Irish county of Glenarvon, somewhere in the northwest of Galway, and tells the story of Gloria Grandison, the Irish wife of the local British magistrate, who falls in love with an Irish freedom fighter and leaves her husband for him. The story is set in 1884, during the Irish fight for freedom and independence from Great Britain.","The Fox of Glenarvon tells the story of a young woman who is forced to marry the son of a wealthy man in order to inherit his family's estate. However, she soon discovers that her new husband is not what he appears to be and that he is in fact a dangerous criminal."
35,Beware Of Pickpockets,"Righteous officer Big Nose Pau is ordered to arrest pickpocket Extra Hand. However, each time he was caught, he was released due to a lack of evidence. Although Extra Hand is a tricky man, he is actually a Robin Hood like pickpocket who steals dirty money from the rich to raise seven orphaned children that he adopted. Extra Hand plans to save money to build an orphanage for the children to live in. Later, Extra Hand learns that his rival, Dog Lice, has robbed many jewels and therefore, Extra Hand planned to steal them from him. After a major battle with Dog Lice and his gang, Extra Hand was caught by Pau. Although Pau was hesitant to arrest him, Extra Hand decides not to give a tough job for Big Nose and surrenders to him. However, seeing how Extra Hands is doing all this for the orphans, Pau decides to let him go.","The film tells the story of a group of pickpockets who are on the run from the police. The film is set in a small town in the south of France during the early 1970s. The main character is a pickpocket named Jean-Claude, who lives with his widowed mother, who works as a waitress in a restaurant, and his younger brother, Jean-Michel, who is a student at the local high school. The two brothers are in love with the same girl, Marie, but she is engaged to the son of a wealthy family, and the father does not approve of their relationship because he fears that he will lose his job if he marries her. Jean and Michel's relationship is further complicated by the fact that Marie's father is a member of the pickpocket gang, and he is also the leader of the gang."
36,Life Love Death,"François Toledo, married businessman and father, falls head-over-heels in love with Janine, a work colleague. However, he is soon found out: after three dates, he strangles some prostitutes, when, the victim of blackmail, he becomes dishonoured. He is taken to court, and sentenced to death on the guillotine.","The film is set in a small town in the south of France during the 1930s and 1940s. It tells the story of a young man, Paul, who falls in love with the daughter of a wealthy family."
37,Dancing In The Dark,"This musical comedy stars William Powell as Emery Slade, an unlikeable actor who was once a major film star, but who has not worked in ten years. Slade tries to convince studio chief Melville Crossman to give the female lead in the film version of a Broadway musical to an unknown, rather than the actress he was sent to New York to sign.","Dancing in the Dark tells the story of a group of friends who go on a road trip to Las Vegas to see a movie. The group includes a young woman who is in love with the lead actor of the film, and a young man who has a crush on the star of the movie, but is afraid to tell her."
38,The Balloon Goes Up,"The title refers to the 'balloon going up', a popular euphemism for an anticipated German invasion of Britain during the Second World War. This musical - comedy film is a collection of vaudeville gags and radio one line - jokes. It is also an anti - Nazi war film.",The film tells the story of a group of friends who decide to go on a balloon ride to the top of the world in order to raise money for their school's music program. They are joined by a young girl who has a crush on one of their friends.
39,Hunting Season,"Veteran homicide cop Ferman and his hot-headed partner İdris team up with rookie cop and anthropology major Hasan to investigate the murder of a young woman. The suspects include her conservative family, who might have killed her for honor, her drug-dealing boyfriend and aged billionaire Battal who had taken the victim as his second wife.","The film tells the story of a group of friends who decide to go on a hunting trip to a nearby lake for the first time in their lives. They are joined by a young girl who has a crush on one of their friends, and a young man who is in love with her."
40,Part Time Wife,"Jim Murdock's marriage is in trouble after he neglects his wife, particularly her attraction to golf. With tips from Irish caddy Tommy Milligan on how to play the game on the course and at home, Jim challenges his estranged wife to a match and demonstrates that he's a changed man.",The film tells the story of a young man who falls in love with and marries a woman who is the daughter of a wealthy businessman. He then finds out that she is engaged to be married to another man.
41,The Turners Of Prospect Road,"A London cabby finds a greyhound puppy in his cab, and gives it to his daughter. She raises it and trains it up at the race tracks; and in spite of crooked rival owners, the dog eventually wins the Greyhound Derby.",The Turner Turners of Prospect Road tells the story of a family whose life is turned upside down by the arrival of a group of outlaws who take over the family farm.
42,Josephine And Men,"Josephine's , an unsuccessful playwright. But when their situations are reversed, Josephine's interest in David starts to wane. She is a woman we hear, always drawn to underdogs.","Josephine and Men tells the story of a group of men and women who live in a small town in the Belgian Congo in the 1950s. Josephine is a young woman who lives with her widowed mother, who works in a factory, and her father, who is a farmer. The film focuses on the lives of the men in the small town and their relationships with women."
43,Reach The Rock,"A small town troublemaker , directionless and alienated, ends up spending a night in a jail cell, where he and the police chief ([[William Sadler engage in a battle of wills and wit. The soundtrack featured a compilation of Chicago-based Post-Rock artists, among them Tortoise, The Sea and Cake and John McEntire. It was released on Hefty Records, a label owned and operated by John Hughes III, the son of Reach the Rock screenwriter John Hughes. The film gets its title from a song, by the band Havana 3am.","Reach the Rock tells the story of a group of American soldiers who are sent to the Middle East by the United States to fight in the Second Sudanese Civil War. The film is set in a fictional Middle Eastern country in the late 1960s. The protagonist, a young American soldier, is sent by the U.S. Army to a Middle Eastern nation in order to train for a mission to liberate the people of the country."
44,Black Heat,"Kicks Carter is a streetwise policeman whose beat is Las Vegas. A crime gang is running guns, selling drugs, loan-sharking, and running a prostitution ring out of an upscale hotel in the city and Kicks is trying to put them out of business. But the interference of a woman reporter is making his job more difficult.","The film is set in the late 1960s and early 1970s, during the height of the Cold War between the Soviet Union and the United States. The plot concerns a group of KGB agents who are sent to assassinate a U.S. Senator who is suspected of being a Communist sympathizer."
45,The Guinea Pig,"The ""guinea pig"" is 14-year-old Jack Read , a tobacconist's son who, following the Fleming Report, is given a scholarship to Saintbury, an exclusive public school. Only after the changes wreaked by the Second World War, could such a scenario be imagined. Of course, Read's uncouth behaviour causes him difficulties in fitting into the school.","The Guinea Pig tells the story of a young boy who is adopted by a wealthy family and becomes a guinea pig for the family's pet chimpanzee. The boy grows up to become a successful businessman, but his mother dies and he is left with the responsibility of taking care of the pet."
46,The Beast In The Cellar,Soldiers in a rural military base are being brutally murdered. They suspect a wild cat. Two local ladies: Joyce Balentine ; a man who has been locked in a basement for thirty years.,"The Beast in the cellar tells the story of a young woman who moves into a dilapidated house with her aunt, uncle, and cousin, only to discover that the house is haunted by the spirit of a woman who died in the house many years before."
47,Abby Sen,"Kolkata 2013. Abby Sen is a 30-year-old television producer. He is academically brilliant, has a strong background in science and watching science fiction films is his greatest passion. But his programmes on television are never popular and fail to make a mark on the TRP ratings. And that is perhaps the only reason why Abby has lost no less than seven jobs. Every time he is fired, his wife Somy gets hysterical and throws down everything that she could lay her hands on. So Abby has not disclosed his last dismissal to her. By sheer coincidence, Abby meets a self-styled scientist who claims to have discovered a time-travel capsule. The scientist volunteers to take Abby back in time when getting a job was not that difficult. But he has certain conditions, which Abby must fulfill. Finding all options bleak, Abby decides to agree to his conditions and travel 33 years back in time, that is, in 1980. Thereafter, a series of unforeseen incidents and intricacies of relationships make Abby’s life in 1980 as eventful as ever. But flung between the two worlds of 1980 and 2013 both in his personal and professional life, Abby represents the predicament of a man struggling to survive in this competitive world.","Abby Sen is a young woman who lives with her widowed mother in a small town in the American Southwest. Abby's father died when she was very young, and her mother has since remarried and has a daughter named Abby. Abby is very close to her mother, but she is very distant from her father. Abby has a crush on her neighbor, a young man named Billy, who lives in the city with his mother. Abby and Billy's relationship is strained because of Abby's mother's disapproval of her relationship with her father, and she is afraid that he will leave her if she continues to see him. Abby's mother dies in a car accident, and Abby is forced to move in with her aunt and uncle, who live in a trailer park in the middle of nowhere. Her aunt, who is also a single mother, is very protective of Abby, and tries to keep her from going out with other men. Abby spends most of her time in the trailer park, and is often bullied by the other girls in the park. She is also bullied at school, as she is unpopular with the other students."
48,The Call Of The North,"Graehme, Ned Stewart's father was accused of adultery and killed being innocent. Ned decided to avenge his father, but got captured and sent to the long journey to death ""la longue traverse"". Fortunately Virginia saves his life and the story's villain confesses Ned's innocence.","The film is set in the late 19th century, during the time of the Napoleonic Wars. It tells the story of a group of British soldiers who are sent to the north to fight in the First World War against the French."
49,Daughter Of The Jungle,"A small plane crash-lands in an African jungle. The pilot and his passengers – including a gangster and his accomplice who are being transported back to the USA in the custody of a government agent – encounter a missing millionaire and his Tarzan-like daughter, who tries to help the survivors get back to civilization.","The film is set in the late 19th century, during the reign of Queen Isabella II of Spain. It tells the story of Princess Isabella I of Castile, the daughter of the Spanish ambassador to England, and her relationship with her father, the Duke of Orléans."
50,Up With The Lark,"During the Second World War, two incompetent female detectives, Ethel and Gracie , disguise themselves as Land Girls, with the aim of exposing the black market business that they believe a local hotel manager is running. Despite the two women's inept efforts, they eventually succeed.","The Lark tells the story of a group of friends who go on a weekend camping trip to a secluded country house in the English countryside, where they meet up with a lark who has been left behind by his wife and children."
51,The Moth Of Moonbi,Dell Ferris is a tomboy from the country town of Moonbi who is loved by Enlish head stockman Tom. She goes to the city where sophisticated Margery Daw helps Dell spend her money in high society. Dell returns to Moonbi poorer but wiser and marries Tom.,"The moth of moonbi tells the story of a young woman, Moonbi, who lives in a small village in the mountains of Japan. She is the daughter of the village chief, and is in love with the chief's son-in-law, who is also the son of Moonbi's village chief."
